texto,origen,texto_limpio,tokens,longitud
Congratulations. A very important milestone between Israel and Ecuador. Innovation and technology are definitely a key in building bridges to a better future,linkedin,congratulations a very important milestone between israel and ecuador innovation and technology are definitely a key in building bridges to a better future,"['congratulations', 'very', 'important', 'mileston', 'betw', 'israel', 'and', 'ecuador', 'innovation', 'and', 'technology', 'are', 'definitely', 'key', 'building', 'bridg', 'bett', 'futur']",23
"Gracias por hacer una nota crítica, porque alguien tiene que decirlo. Unir el Ministerio de Ambiente con el de Energía y Minas es un despropósito. Darle a la minería y al petróleo el mismo escritorio que debería proteger los páramos, las fuentes de agua y la Amazonía, es como nombrar a un pirómano jefe del cuerpo de bomberos, con la excusa de que así se coordina mejor el fuego. Es una lástima tener este tipo de gobernantes, y lo peor: mis propios colegas que todavía los aplauden. … más",linkedin,gracias por hacer una nota critica porque alguien tiene que decirlo unir el ministerio de ambiente con el de energia y minas es un desproposito darle a la mineria y al petroleo el mismo escritorio que deberia proteger los paramos las fuentes de agua y la amazonia es como nombrar a un piromano jefe del cuerpo de bomberos con la excusa de que asi se coordina mejor el fuego es una lastima tener este tipo de gobernantes y lo peor mis propios colegas que todavia los aplauden mas,"['graci', 'hac', 'not', 'critic', 'algui', 'dec', 'unir', 'ministeri', 'ambient', 'energi', 'min', 'desproposit', 'darl', 'mineri', 'petrole', 'mism', 'escritori', 'deberi', 'proteg', 'par', 'fuent', 'agu', 'amazoni', 'nombr', 'piroman', 'jef', 'cuerp', 'bomber', 'excus', 'asi', 'coordin', 'mejor', 'fueg', 'lastim', 'ten', 'tip', 'gobern', 'peor', 'propi', 'coleg', 'todavi', 'aplaud', 'mas']",89
"Es una decisión sin criterio técnico, fusionar una cartera tan importante en la conservación y protección de los recursos renovables en un país megadiverso a un ministerio extractivista no es lógico. No sé puede ser juez y parte a la vez. Quién va controlar el daño ambiental, cómo va ser esa nueva política de un ministerio que es transversal.",linkedin,es una decision sin criterio tecnico fusionar una cartera tan importante en la conservacion y proteccion de los recursos renovables en un pais megadiverso a un ministerio extractivista no es logico no se puede ser juez y parte a la vez quien va controlar el dano ambiental como va ser esa nueva politica de un ministerio que es transversal,"['decision', 'criteri', 'tecnic', 'fusion', 'carter', 'tan', 'import', 'conserv', 'proteccion', 'recurs', 'renov', 'pais', 'megadivers', 'ministeri', 'extractiv', 'logic', 'pued', 'ser', 'juez', 'part', 'vez', 'control', 'dan', 'ambiental', 'ser', 'nuev', 'polit', 'ministeri', 'transversal']",59
"Senado bonaerense: piden prisión preventiva para empleados denunciados por abuso sexual  Se trata de Nicolás Daniel Rodríguez y Daniela Silva Muñoz, quienes fueron denunciados por al menos cuatro víctimas.   En LN+",x,senado bonaerense piden prision preventiva para empleados denunciados por abuso sexual se trata de nicolas daniel rodriguez y daniela silva munoz quienes fueron denunciados por al menos cuatro victimas en ln,"['sen', 'bonaerens', 'pid', 'prision', 'prevent', 'emple', 'denunci', 'abus', 'sexual', 'trat', 'nicol', 'daniel', 'rodriguez', 'daniel', 'silv', 'munoz', 'denunci', 'men', 'cuatr', 'victim']",31
[ NO FALLA ]  OTRA VEZ KIRCHNERISTAS COMETIENDO ABUSO SEXUAL DE TODO TIPO.  -Nicolás Daniel Rodríguez -Daniela Silva Muñoz -José Alperovich -Fernando Espinoza -Ezequiel Guazzora  Degenerados de mierda. Pena de muerte.,x,no falla otra vez kirchneristas cometiendo abuso sexual de todo tipo nicolas daniel rodriguez daniela silva munoz jose alperovich fernando espinoza ezequiel guazzora degenerados de mierda pena de muerte,"['fall', 'vez', 'kirchner', 'comet', 'abus', 'sexual', 'tip', 'nicol', 'daniel', 'rodriguez', 'daniel', 'silv', 'munoz', 'jos', 'alperovich', 'fern', 'espinoz', 'ezequiel', 'guazzor', 'degener', 'mierd', 'pen', 'muert']",31
"#Nariño| Gremios y autoridades de Nariño analizan impacto de la crisis comercial con Ecuador En la sede de la Cámara de Comercio de Pasto se desarrolló un encuentro ampliado del sector gremial de Nariño, con la participación del alcalde Nicolás Toro Muñoz y el gobernador Luis",x,gremios y autoridades de narino analizan impacto de la crisis comercial con ecuador en la sede de la camara de comercio de pasto se desarrollo un encuentro ampliado del sector gremial de narino con la participacion del alcalde nicolas toro munoz y el gobernador luis,"['gremi', 'autor', 'narin', 'analiz', 'impact', 'crisis', 'comercial', 'ecuador', 'sed', 'cam', 'comerci', 'past', 'desarroll', 'encuentr', 'ampli', 'sector', 'gremial', 'narin', 'particip', 'alcald', 'nicol', 'tor', 'munoz', 'gobern', 'luis']",46
"Los acusados en la denuncia por abusos sexuales y secta en el Senado bonaerense son Nicolás Rodríguez y Daniela Silva Muñoz, referentes de la militancia kirchnerista y del grupo La Capitana, ligado al Frente de Todos (ahora Unión por la Patria).",x,los acusados en la denuncia por abusos sexuales y secta en el senado bonaerense son nicolas rodriguez y daniela silva munoz referentes de la militancia kirchnerista y del grupo la capitana ligado al frente de todos ahora union por la patria,"['acus', 'denunci', 'abus', 'sexual', 'sect', 'sen', 'bonaerens', 'nicol', 'rodriguez', 'daniel', 'silv', 'munoz', 'referent', 'milit', 'kirchner', 'grup', 'capitan', 'lig', 'frent', 'ahor', 'union', 'patri']",41
"POSIBLES FORMACIONES  Gimnasia de Mendoza: Via Noticias Argentinas: César Rigamonti; Luciano Paredes, Ezequiel Muñoz, Imanol González, Franco Saavedra; Julián Ceballos, Nicolás Linares, Fermín Antonini, Facundo Lencioni; Santiago Rodríguez, Valentino Simoni.",x,posibles formaciones gimnasia de mendoza via noticias argentinas cesar rigamonti luciano paredes ezequiel munoz imanol gonzalez franco saavedra julian ceballos nicolas linares fermin antonini facundo lencioni santiago rodriguez valentino simoni,"['posibl', 'formacion', 'gimnasi', 'mendoz', 'via', 'notici', 'argentin', 'ces', 'rigamonti', 'lucian', 'pared', 'ezequiel', 'munoz', 'imanol', 'gonzalez', 'franc', 'saavedr', 'juli', 'ceball', 'nicol', 'linar', 'fermin', 'antonini', 'facund', 'lencioni', 'santiag', 'rodriguez', 'valentin', 'simoni']",30
"Ahora nuestro director, Nicolás Sepúlveda, en  @lametrocl  conversando sobre los últimos antecedentes de la trama bielorrusa",x,ahora nuestro director nicolas sepulveda en conversando sobre los ultimos antecedentes de la trama bielorrusa,"['ahor', 'director', 'nicol', 'sepulved', 'convers', 'ultim', 'antecedent', 'tram', 'bielorrus']",16
"En el marco de una causa que investiga violencia sexual, amenazas y manipulación psicológica vinculado a una secta denominada “La Orden de la Luz ”, dos empleados del Senado bonaerense, Nicolás Daniel Rodríguez y Daniela Silva Muñoz, fueron detenidos.",x,en el marco de una causa que investiga violencia sexual amenazas y manipulacion psicologica vinculado a una secta denominada la orden de la luz dos empleados del senado bonaerense nicolas daniel rodriguez y daniela silva munoz fueron detenidos,"['marc', 'caus', 'investig', 'violenci', 'sexual', 'amenaz', 'manipul', 'psicolog', 'vincul', 'sect', 'denomin', 'orden', 'luz', 'dos', 'emple', 'sen', 'bonaerens', 'nicol', 'daniel', 'rodriguez', 'daniel', 'silv', 'munoz', 'deten']",39
"TODO LO QUE TENÉS QUE SABER SOBRE “LA ORDEN DE LA LUZ”  -Nicolás Rodríguez y Daniela Muñoz, empleados del Senado bonaerense , están detenidos, acusados de integrar la secta. -Estiman que podrían haber al menos 20 víctimas.  #LaOrdenDeLaLuz #Secta #SenadoBonaerense #Policiales",x,todo lo que tenes que saber sobre la orden de la luz nicolas rodriguez y daniela munoz empleados del senado bonaerense estan detenidos acusados de integrar la secta estiman que podrian haber al menos victimas,"['ten', 'sab', 'orden', 'luz', 'nicol', 'rodriguez', 'daniel', 'munoz', 'emple', 'sen', 'bonaerens', 'estan', 'deten', 'acus', 'integr', 'sect', 'estim', 'podri', 'hab', 'men', 'victim']",41
#TURNOAM | ¿Por qué cayó REALMENTE Ángela Vivanco? ¡Vienen Nicolás Sepúlveda y el ministro Muñoz!  Sigue la transmisión:  https:// buff.ly/Rc2xaSP,x,por que cayo realmente angela vivanco vienen nicolas sepulveda y el ministro munoz sigue la transmision https bufflyrcxasp,"['cay', 'realment', 'angel', 'vivanc', 'vien', 'nicol', 'sepulved', 'ministr', 'munoz', 'sig', 'transmision', 'https', 'bufflyrcxasp']",20
"Durante el Comité Ampliado Intergremial en Pasto, el alcalde Nicolás Toro Muñoz hizo un llamado al Gobierno Nacional ante el aumento del 30% en aranceles, que afecta la economía fronteriza, e instó a activar los canales diplomáticos con Ecuador. #NicolásToro #ColombiaYEcuador",x,durante el comite ampliado intergremial en pasto el alcalde nicolas toro munoz hizo un llamado al gobierno nacional ante el aumento del en aranceles que afecta la economia fronteriza e insto a activar los canales diplomaticos con ecuador,"['comit', 'ampli', 'intergremial', 'past', 'alcald', 'nicol', 'tor', 'munoz', 'hiz', 'llam', 'gobiern', 'nacional', 'aument', 'arancel', 'afect', 'economi', 'fronteriz', 'insto', 'activ', 'canal', 'diplomat', 'ecuador']",41
Se suman más elementos a la causa por abuso sexual en el Senado bonaerense donde están imputados Nicolás Rodríguez y Daniela Silva Muñoz,x,se suman mas elementos a la causa por abuso sexual en el senado bonaerense donde estan imputados nicolas rodriguez y daniela silva munoz,"['sum', 'mas', 'element', 'caus', 'abus', 'sexual', 'sen', 'bonaerens', 'estan', 'imput', 'nicol', 'rodriguez', 'daniel', 'silv', 'munoz']",23
"""Hay 9 delitos, de los cuales en 6 participan Nicolás Rodríguez y Daniela Silva Muñoz. No descartamos que haya más personas involucradas"".   Ignacio Fernández Camillo en #ElRepaso   http:// provinciaradio.com.ar",x,hay delitos de los cuales en participan nicolas rodriguez y daniela silva munoz no descartamos que haya mas personas involucradas ignacio fernandez camillo en http provinciaradiocomar,"['delit', 'cual', 'particip', 'nicol', 'rodriguez', 'daniel', 'silv', 'munoz', 'descart', 'mas', 'person', 'involucr', 'ignaci', 'fernandez', 'camill', 'http', 'provinciaradiocom']",29
"La sub 20 de Colo-Colo Sub que enfrentó a Temuco formó con:   Maximiliano Muñoz; Víctor Campos (20), Bruno Torres (17), Nicolás Suárez (20), Benja Pérez (18); Matías Moya (19), Cristian Díaz (17), Sebastián Vega (19); Nahuel Flores (18), Jerall Astudillo (18) y Gedeón Díaz (17)",x,la sub de colocolo sub que enfrento a temuco formo con maximiliano munoz victor campos bruno torres nicolas suarez benja perez matias moya cristian diaz sebastian vega nahuel flores jerall astudillo y gedeon diaz,"['sub', 'colocol', 'sub', 'enfrent', 'temuc', 'form', 'maximilian', 'munoz', 'victor', 'camp', 'brun', 'torr', 'nicol', 'suarez', 'benj', 'perez', 'mati', 'moy', 'cristi', 'diaz', 'sebasti', 'veg', 'nahuel', 'flor', 'jerall', 'astudill', 'gedeon', 'diaz']",45
"Te faltó Pablo Muñoz Iturrieta, Nicolás Márquez.",x,te falto pablo munoz iturrieta nicolas marquez,"['falt', 'pabl', 'munoz', 'iturriet', 'nicol', 'marquez']",7
"Los acusados principales en el caso de la secta ""La Orden de la Luz"" en el Senado bonaerense son Nicolás Daniel Rodríguez y Daniela Silva Muñoz, ambos empleados del Senado y militantes de la agrupación kirchnerista La Capitana. También se investiga a Melina Gaudino, exfuncionaria",x,los acusados principales en el caso de la secta la orden de la luz en el senado bonaerense son nicolas daniel rodriguez y daniela silva munoz ambos empleados del senado y militantes de la agrupacion kirchnerista la capitana tambien se investiga a melina gaudino exfuncionaria,"['acus', 'principal', 'cas', 'sect', 'orden', 'luz', 'sen', 'bonaerens', 'nicol', 'daniel', 'rodriguez', 'daniel', 'silv', 'munoz', 'ambos', 'emple', 'sen', 'milit', 'agrup', 'kirchner', 'capitan', 'tambi', 'investig', 'melin', 'gaudin', 'exfuncionari']",45
#AAAJ Volvimos a Paternal Bryan Cortes  Leandro Lozano  Francisco Alvarez  Tobias Ramirez  Sebastian Prieto. Federico Fattori  Nicolas Oroz  Alan Lescano   Lautaro Giaccone  Diego Porcel  Tomas Molina   Hernan Lopez Muñoz quedo afuera del banco de,x,volvimos a paternal bryan cortes leandro lozano francisco alvarez tobias ramirez sebastian prieto federico fattori nicolas oroz alan lescano lautaro giaccone diego porcel tomas molina hernan lopez munoz quedo afuera del banco de,"['volv', 'paternal', 'bryan', 'cort', 'leandr', 'lozan', 'francisc', 'alvarez', 'tobi', 'ramirez', 'sebasti', 'priet', 'feder', 'fattori', 'nicol', 'oroz', 'alan', 'lescan', 'lautar', 'giaccon', 'dieg', 'porcel', 'tom', 'molin', 'hern', 'lopez', 'munoz', 'qued', 'afuer', 'banc']",34
El bogotano Sebastián Muñoz viene de la mejor temporada de su carrera en el LIV Golf. Fue campeón en Indianápolis y va por más en 2026.   https:// trib.al/v34yTFe,x,el bogotano sebastian munoz viene de la mejor temporada de su carrera en el liv golf fue campeon en indianapolis y va por mas en https tribalvytfe,"['bogotan', 'sebasti', 'munoz', 'vien', 'mejor', 'tempor', 'carrer', 'liv', 'golf', 'campeon', 'indianapolis', 'mas', 'https', 'tribalvytf']",28
"No puedo hablar por FacundoJLanza, pero si se refiere al caso de la secta en el Senado bonaerense, involucra a Nicolás Rodríguez y Daniela Silva Muñoz, vinculados al kirchnerismo, según fuentes como Infobae y La Nación. Para detalles, recomiendo consultarlas directamente.",x,no puedo hablar por facundojlanza pero si se refiere al caso de la secta en el senado bonaerense involucra a nicolas rodriguez y daniela silva munoz vinculados al kirchnerismo segun fuentes como infobae y la nacion para detalles recomiendo consultarlas directamente,"['pued', 'habl', 'facundojl', 'refier', 'cas', 'sect', 'sen', 'bonaerens', 'involucr', 'nicol', 'rodriguez', 'daniel', 'silv', 'munoz', 'vincul', 'kirchner', 'segun', 'fuent', 'infoba', 'nacion', 'detall', 'recom', 'consult', 'direct']",41
"Los acusados en el caso de la presunta secta sexual en la Legislatura bonaerense son Nicolás Rodríguez y Daniela Silva Muñoz, empleados del Senado asociados al kirchnerismo (Movimiento Ciudadano La Capitana y Frente de Todos). No son diputados ni pertenecen a partidos",x,los acusados en el caso de la presunta secta sexual en la legislatura bonaerense son nicolas rodriguez y daniela silva munoz empleados del senado asociados al kirchnerismo movimiento ciudadano la capitana y frente de todos no son diputados ni pertenecen a partidos,"['acus', 'cas', 'presunt', 'sect', 'sexual', 'legislatur', 'bonaerens', 'nicol', 'rodriguez', 'daniel', 'silv', 'munoz', 'emple', 'sen', 'asoci', 'kirchner', 'movimient', 'ciudadan', 'capitan', 'frent', 'diput', 'pertenec', 'part']",42
La detención de Nicolás Rodríguez y Daniela Silva Muñoz sacó a la luz una década de denuncias ignoradas.,x,la detencion de nicolas rodriguez y daniela silva munoz saco a la luz una decada de denuncias ignoradas,"['detencion', 'nicol', 'rodriguez', 'daniel', 'silv', 'munoz', 'sac', 'luz', 'dec', 'denunci', 'ignor']",18
"Posibles formaciones para Argentinos  Brayan Cortés; Leandro Lozano, Francisco Álvarez, Tobías Ramírez, Sebastián Prieto; Alan Lescano, Enzo Pérez, Nicolás Oroz, Hernán López Muñoz; Tomás Molina y Lautaro Giaccone. DT: Nicolás Diez.",x,posibles formaciones para argentinos brayan cortes leandro lozano francisco alvarez tobias ramirez sebastian prieto alan lescano enzo perez nicolas oroz hernan lopez munoz tomas molina y lautaro giaccone dt nicolas diez,"['posibl', 'formacion', 'argentin', 'bray', 'cort', 'leandr', 'lozan', 'francisc', 'alvarez', 'tobi', 'ramirez', 'sebasti', 'priet', 'alan', 'lescan', 'enzo', 'perez', 'nicol', 'oroz', 'hern', 'lopez', 'munoz', 'tom', 'molin', 'lautar', 'giaccon', 'nicol', 'diez']",31
"#AAAJ FATTORI Y GODOY  Ambos se recuperaron de sus respectivas lesiones y estarán a disposición de Nicolás Diez. Resta definir si serán titulares.  Por su parte, Lopez Muñoz y Lescano serán evaluados en el último entrenamiento de hoy.",x,fattori y godoy ambos se recuperaron de sus respectivas lesiones y estaran a disposicion de nicolas diez resta definir si seran titulares por su parte lopez munoz y lescano seran evaluados en el ultimo entrenamiento de hoy,"['fattori', 'godoy', 'ambos', 'recuper', 'respect', 'lesion', 'estar', 'disposicion', 'nicol', 'diez', 'rest', 'defin', 'ser', 'titular', 'part', 'lopez', 'munoz', 'lescan', 'ser', 'evalu', 'ultim', 'entren', 'hoy']",38
"Poco se habla que Victor Muñoz, le da mil vueltas al navarrico NICOLAS Williams.",x,poco se habla que victor munoz le da mil vueltas al navarrico nicolas williams,"['habl', 'victor', 'munoz', 'mil', 'vuelt', 'navarr', 'nicol', 'williams']",14
"Mauro Casoli; Lautaro Johnson, Mateo Del Pino, Nicolás Malvacio y Román Lucena; Sebastián Álvarez (37' Hernán Taborda), Sebastián Gallardo, Fernando Enrique (56' Mateo Muñoz) y Federico Versaci (3' Isaías Ciavarelli) (37' Pablo Cortizo); Matías Samaniego y Eugenio Olivera.",x,mauro casoli lautaro johnson mateo del pino nicolas malvacio y roman lucena sebastian alvarez hernan taborda sebastian gallardo fernando enrique mateo munoz y federico versaci isaias ciavarelli pablo cortizo matias samaniego y eugenio olivera,"['maur', 'casoli', 'lautar', 'johnson', 'mate', 'pin', 'nicol', 'malvaci', 'rom', 'lucen', 'sebasti', 'alvarez', 'hern', 'tabord', 'sebasti', 'gallard', 'fern', 'enriqu', 'mate', 'munoz', 'feder', 'versaci', 'isai', 'ciavarelli', 'pabl', 'cortiz', 'mati', 'samanieg', 'eugeni', 'oliver']",38
"POLÉMICA Y DENUNCIAS  La ministra de las Mujeres bonaerense, Estela Díaz, admitió que conocía los rumores de abusos en el Senado bonaerense antes de asumir en 2019. Los acusados, Nicolás Rodríguez y Daniela Silva Muñoz, fueron detenidos años después tras múltiples denuncias.",x,polemica y denuncias la ministra de las mujeres bonaerense estela diaz admitio que conocia los rumores de abusos en el senado bonaerense antes de asumir en los acusados nicolas rodriguez y daniela silva munoz fueron detenidos anos despues tras multiples denuncias,"['polem', 'denunci', 'ministr', 'mujer', 'bonaerens', 'estel', 'diaz', 'admiti', 'conoci', 'rumor', 'abus', 'sen', 'bonaerens', 'asum', 'acus', 'nicol', 'rodriguez', 'daniel', 'silv', 'munoz', 'deten', 'anos', 'despu', 'tras', 'multipl', 'denunci']",42
"Estela Díaz, llegó a su cargo en diciembre de 2019 sabiendo de las acusaciones que pesaban sobre Nicolás Rodríguez y Daniela Silva Muñoz Que acumulaban denuncias de 2014 y ese mismo 2019 o sea no eran rumores los tipos estaban denunciados manga de inmorales corruptos sucios",x,estela diaz llego a su cargo en diciembre de sabiendo de las acusaciones que pesaban sobre nicolas rodriguez y daniela silva munoz que acumulaban denuncias de y ese mismo o sea no eran rumores los tipos estaban denunciados manga de inmorales corruptos sucios,"['estel', 'diaz', 'lleg', 'carg', 'diciembr', 'sab', 'acus', 'pes', 'nicol', 'rodriguez', 'daniel', 'silv', 'munoz', 'acumul', 'denunci', 'mism', 'rumor', 'tip', 'denunci', 'mang', 'inmoral', 'corrupt', 'suci']",46
"Por qué no hizo nada con los abusos cometidos por Nicolás Rodríguez y Daniela Muñoz? Cierto, son militantes...",x,por que no hizo nada con los abusos cometidos por nicolas rodriguez y daniela munoz cierto son militantes,"['hiz', 'abus', 'comet', 'nicol', 'rodriguez', 'daniel', 'munoz', 'ciert', 'milit']",18
NICOLAS MUÑOZ,x,nicolas munoz,"['nicol', 'munoz']",2
"Perón no tuvo hijos pero le implantó sus genes de degenerado y violador a todos sus militantes. De ahí surgen Guazorra,Alperovich, Espinoza, Nicolas Rodríguez y Silvia Daniela Muñoz y otros tantos kumpas más",x,peron no tuvo hijos pero le implanto sus genes de degenerado y violador a todos sus militantes de ahi surgen guazorraalperovich espinoza nicolas rodriguez y silvia daniela munoz y otros tantos kumpas mas,"['peron', 'hij', 'implant', 'gen', 'degener', 'violador', 'milit', 'ahi', 'surg', 'guazorraalperovich', 'espinoz', 'nicol', 'rodriguez', 'silvi', 'daniel', 'munoz', 'tant', 'kump', 'mas']",33
"Como buen ""socialista"" que era, Perón tenía una cuenta en el Credit Suisse. Ahí le esperaba toda la que se robo, junto a Evita, para disfrutarla con Mery Terán, una tenista del circuito junior que participo de la UES",x,como buen socialista que era peron tenia una cuenta en el credit suisse ahi le esperaba toda la que se robo junto a evita para disfrutarla con mery teran una tenista del circuito junior que participo de la ues,"['buen', 'social', 'peron', 'teni', 'cuent', 'credit', 'suiss', 'ahi', 'esper', 'tod', 'rob', 'junt', 'evit', 'disfrut', 'mery', 'ter', 'tenist', 'circuit', 'junior', 'particip', 'ues']",39
"Nacho Larrea y Currita de la Cruz debaten sobre la detención de Maduro y lo que busca EEUU en Venezuela  Camarada Nicolás, ¡Presente!  #LaHoradelCAFE 439 #LHDC439  Programa completo con Jesús Muñoz  @MasRazonqUnSant , Nacho Larrea y Currita de la Cruz  @CurritaDelaCruz  , en estos",x,nacho larrea y currita de la cruz debaten sobre la detencion de maduro y lo que busca eeuu en venezuela camarada nicolas presente programa completo con jesus munoz nacho larrea y currita de la cruz en estos,"['nach', 'larre', 'currit', 'cruz', 'debat', 'detencion', 'madur', 'busc', 'eeuu', 'venezuel', 'camar', 'nicol', 'present', 'program', 'complet', 'jesus', 'munoz', 'nach', 'larre', 'currit', 'cruz']",44
"Nicolás Daniel Rodríguez y Daniela Silva Muñoz, los empleados legislativos y dirigentes políticos.. Hay que tener cuidado con lo que se dice en televisión en ese horario.. Sino, que se vaya  a decir guarangadas a la medianoche.",x,nicolas daniel rodriguez y daniela silva munoz los empleados legislativos y dirigentes politicos hay que tener cuidado con lo que se dice en television en ese horario sino que se vaya a decir guarangadas a la medianoche,"['nicol', 'daniel', 'rodriguez', 'daniel', 'silv', 'munoz', 'emple', 'legisl', 'dirigent', 'polit', 'ten', 'cuid', 'dic', 'television', 'horari', 'sin', 'vay', 'dec', 'guarang', 'medianoch']",37
"Volantes posicionales: Muñoz, Lértora, Yunis y Gaitan. Volantes Mixtos: Antonio y Maillier.   Es la lectura que se hace en el armado del plantel. Falta competencia en el volante mixto, cupo que dejó vacante Nicolás Talpone.",x,volantes posicionales munoz lertora yunis y gaitan volantes mixtos antonio y maillier es la lectura que se hace en el armado del plantel falta competencia en el volante mixto cupo que dejo vacante nicolas talpone,"['volant', 'posicional', 'munoz', 'lertor', 'yunis', 'gait', 'volant', 'mixt', 'antoni', 'mailli', 'lectur', 'hac', 'armad', 'plantel', 'falt', 'competent', 'volant', 'mixt', 'cup', 'dej', 'vacant', 'nicol', 'talpon']",35
"No les parece que tenemos un millon de mediocampistas ya? Antonio,Muñoz,Lertora,Yunis,Gaitan",x,no les parece que tenemos un millon de mediocampistas ya antoniomunozlertorayunisgaitan,"['parec', 'millon', 'mediocamp', 'antoniomunozlertorayunisgait']",11
"Jesús Muñoz recuerda a Nicolás, el joven falangista de 17 años fallecido a primeros de Enero de 2026  Camarada Nicolás, ¡Presente!  #LaHoradelCAFE 439 #LHDC439  Programa completo con Jesús Muñoz  @MasRazonqUnSant , Nacho Larrea y Currita de la Cruz  @CurritaDelaCruz  , en estos",x,jesus munoz recuerda a nicolas el joven falangista de anos fallecido a primeros de enero de camarada nicolas presente programa completo con jesus munoz nacho larrea y currita de la cruz en estos,"['jesus', 'munoz', 'recuerd', 'nicol', 'jov', 'falang', 'anos', 'fallec', 'primer', 'ener', 'camar', 'nicol', 'present', 'program', 'complet', 'jesus', 'munoz', 'nach', 'larre', 'currit', 'cruz']",42
#TorneoApertura 2026  #Fecha1   La formación de Gimnasia (M)  César Rigamonti Luciano Paredes Ezequiel Muñoz Imanol González Franco Saavedra Julián Ceballos Nicolás Linares Fermín Antonini Facundo Lencioni Santiago Rodríguez Valentino Simón  DT: Ariel Broggi,x,la formacion de gimnasia m cesar rigamonti luciano paredes ezequiel munoz imanol gonzalez franco saavedra julian ceballos nicolas linares fermin antonini facundo lencioni santiago rodriguez valentino simon dt ariel broggi,"['formacion', 'gimnasi', 'ces', 'rigamonti', 'lucian', 'pared', 'ezequiel', 'munoz', 'imanol', 'gonzalez', 'franc', 'saavedr', 'juli', 'ceball', 'nicol', 'linar', 'fermin', 'antonini', 'facund', 'lencioni', 'santiag', 'rodriguez', 'valentin', 'simon', 'ariel', 'broggi']",33
"Secta K y abusos sexuales en el Senado bonaerense: Nicolás Rodríguez y Daniela Silva Muñoz son los dos referentes presos de la militancia kirchnerista y feminista con la agrupación ""Movimiento Ciudadano La Capitana"" ~ La Mirada de Quilmes Oeste  https:// lamiradadequilmesoeste.blogspot.com/2026/01/secta- k-y-abusos-sexuales-en-el-senado.html …",x,secta k y abusos sexuales en el senado bonaerense nicolas rodriguez y daniela silva munoz son los dos referentes presos de la militancia kirchnerista y feminista con la agrupacion movimiento ciudadano la capitana la mirada de quilmes oeste https lamiradadequilmesoesteblogspotcomsecta kyabusossexualesenelsenadohtml,"['sect', 'abus', 'sexual', 'sen', 'bonaerens', 'nicol', 'rodriguez', 'daniel', 'silv', 'munoz', 'dos', 'referent', 'pres', 'milit', 'kirchner', 'femin', 'agrup', 'movimient', 'ciudadan', 'capitan', 'mir', 'quilm', 'oest', 'https', 'lamiradadequilmesoesteblogspotcomsect', 'kyabusossexualesenelsenadohtml']",43
"Nicolás Rodríguez y Daniela Silva Muñoz, dos referentes de la militancia kirchnerista y feminista en La Plata, permanecen detenidos. Los acusan de captar jóvenes al menos desde 2015. Ya son cuatro las mujeres que fueron reconocidas como damnificadas. https://",x,nicolas rodriguez y daniela silva munoz dos referentes de la militancia kirchnerista y feminista en la plata permanecen detenidos los acusan de captar jovenes al menos desde ya son cuatro las mujeres que fueron reconocidas como damnificadas https,"['nicol', 'rodriguez', 'daniel', 'silv', 'munoz', 'dos', 'referent', 'milit', 'kirchner', 'femin', 'plat', 'permanec', 'deten', 'acus', 'capt', 'joven', 'men', 'cuatr', 'mujer', 'reconoc', 'damnific', 'https']",39
"#GimnasiaMza #LigaProfesional  Los Convocados por Ariel Broggi para el debut en el #TorneoApertura, ante #CentralCórdoba. En lista los refuerzos Paredes, Juan Franco, Fernández, Ezequiel Muñoz, Nicolás Linares, Tomás Ortiz, Valentino Simoni, Santiago Rodríguez y Julián Ceballos.",x,los convocados por ariel broggi para el debut en el ante en lista los refuerzos paredes juan franco fernandez ezequiel munoz nicolas linares tomas ortiz valentino simoni santiago rodriguez y julian ceballos,"['convoc', 'ariel', 'broggi', 'debut', 'list', 'refuerz', 'pared', 'juan', 'franc', 'fernandez', 'ezequiel', 'munoz', 'nicol', 'linar', 'tom', 'ortiz', 'valentin', 'simoni', 'santiag', 'rodriguez', 'juli', 'ceball']",36
"SIEMPRE LOS K Nicolás Rodríguez y Daniela Silva Muñoz, dos referentes de la militancia kirchnerista y feminista en La Plata, permanecen detenidos. Los acusan de captar jóvenes al menos desde 2015. Ya son cuatro las mujeres que fueron reconocidas como damnificadas.",x,siempre los k nicolas rodriguez y daniela silva munoz dos referentes de la militancia kirchnerista y feminista en la plata permanecen detenidos los acusan de captar jovenes al menos desde ya son cuatro las mujeres que fueron reconocidas como damnificadas,"['siempr', 'nicol', 'rodriguez', 'daniel', 'silv', 'munoz', 'dos', 'referent', 'milit', 'kirchner', 'femin', 'plat', 'permanec', 'deten', 'acus', 'capt', 'joven', 'men', 'cuatr', 'mujer', 'reconoc', 'damnific']",41
"LOS KUKAS SON TODOS DEGENERADOS. La Justicia imputó por otros cinco hechos de abuso sexual a Nicolás Rodríguez y Daniela Silva Muñoz, empleados del Senado bonaerense acusados de liderar una secta. Ya estaban detenidos y procesados por causas similares.",x,los kukas son todos degenerados la justicia imputo por otros cinco hechos de abuso sexual a nicolas rodriguez y daniela silva munoz empleados del senado bonaerense acusados de liderar una secta ya estaban detenidos y procesados por causas similares,"['kuk', 'degener', 'justici', 'imput', 'cinc', 'hech', 'abus', 'sexual', 'nicol', 'rodriguez', 'daniel', 'silv', 'munoz', 'emple', 'sen', 'bonaerens', 'acus', 'lider', 'sect', 'deten', 'proces', 'caus', 'similar']",39
